Circus	Abay Ave 50, Almaty
Rixos	Kabanbai Batyr Street 510, Almaty
Central Mosque	Pushkin St, Almaty
Holiday Inn Almaty	2d, Timiryazev Street, Almaty 050013
Kazakhstan Hotel	Dostyk Ave 52 2 Almaty
Zenkov's Cathedral	Kazybek Bi St, Almaty
Central State Museum of the Republic of Kazakhstan	Furmanov St 63 Almaty
Arasan Baths	Kunaev St 75, Almaty
Fantasy World	Musrepov St, Almaty
Zelyony Bazaar	51 Zhibek Zholy, Almaty
Esentai Mall	Al-Farabi Ave 71 8 Almaty
Mega Center Alma-Ata	Rozybakiev Street 289 Almaty
Velopark	Rozybakiev St 273 Almaty
Cosmo Sancak	Rozybakiev St 283 Almaty
Knizhnyi Gorod	Rozybakiev St 289 Almaty
MAB	Rozybakiev St 273 Almaty
Caspian Training Group	Kablukov St 270 Almaty
KazCom	Rozybakiev St 277
Hotel Rise	Rozybakiev St 233 Almaty
Metro	Zhandosov Street 2, Almaty
Promenade	Abay Ave 44 Almaty
Yevraziya	Zholdasbekov St 9-18 Almaty
Ritts-Palas	Dostyk Ave 95 Almaty
Globus	Abay Ave 60 Almaty
Arena	Abay Ave 141, Almaty
Hard Rock Café	Karasai Batyr St 85 Almaty
Coffeedelia	Kabanbai Batyr St 79 Almaty
Galereya	Timiryazev St 42 Almaty
Salamat-5	Almaty, ul. Shevchenko, 204
Silk Way City 3D	Tole Bi, 71, Almaty
U Afanasicha	Almaty Dostyk 123/8
Tennis Bar & Restaurant	Almaty, ul. Zheltoksan, 181
Del Papa	Almaty, ul. Kabanbay Batyra, 83
Kok Tobe	Almaty
Park the 28 Guardsmen	Kazybek Bi St, Almaty
Central State Museum of the Republic of Kazakhstan	Furmanov St 63 Almaty
AlmatyMilitary History Museum	Kaldayakov St 34 Almaty
Almaty City History Museum & Museum of Repression	Nauryzbai Batyr St, Almaty
Museum of Archeology of the Academy of Science of the Republic of Kazakhstan	Kaldayakov Street, Almaty
Auezov Theater	Abay Ave, Almaty
A. Kasteev Art Museum	Satpaev St, Almaty
Museum of Kazakh Musical Instruments	Zenkov St, Almaty
